date,days_since_application,plate_number,treatment,replicate,green_filament_(cyanobacteria),%cyano,green_patch_(probably_algae_but_lump_of_several_types_of_green),%green,fungi,%fungi,yellow_orange_goo_(diatoms),%diatom,branching_algae ,%algae,moss_(looks_like_little_plant),%moss,dead_diatom_mat,%deadDiatom,dead_cyano,%deadCyano,num_counts
10-Sep-18,-2,1,ctrl,4,5,5,1,1,9,9,1,1,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,2,prmx,4,8,8,0,0,11,11,4,4,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,3,agri,5,6,6,0,0,8,8,2,2,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,4,gly,1,5,5,0,0,9,9,1,1,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,5,gly,4,6,5.940594059,0,0,18,17.82178218,1,0.99009901,0,0,0,0,0,0,0,0,101
10-Sep-18,-2,6,gly,5,2,1.98019802,0,0,25,24.75247525,1,0.99009901,0,0,0,0,0,0,0,0,101
10-Sep-18,-2,7,ctrl,5,7,7,0,0,14,14,1,1,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,8,gly,3,7,7,0,0,25,25,1,1,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,9,ctrl,3,3,3,0,0,5,5,4,4,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,10,agri,3,2,2,1,1,7,7,0,0,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,11,prmx,1,11,11,3,3,10,10,1,1,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,12,agri,4,7,7,0,0,18,18,4,4,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,13,ctrl,2,3,2.97029703,1,0.99009901,7,6.930693069,2,1.98019802,0,0,0,0,0,0,0,0,101
10-Sep-18,-2,14,prmx,2,0,0,1,0.99009901,16,15.84158416,2,1.98019802,0,0,0,0,0,0,0,0,101
10-Sep-18,-2,15,glax,3,3,3,0,0,18,18,1,1,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,16,glax,4,7,7,1,1,16,16,2,2,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,17,glax,5,2,1.960784314,1,0.980392157,41,40.19607843,2,1.960784314,0,0,0,0,0,0,0,0,102
10-Sep-18,-2,18,glax,1,7,7,2,2,18,18,2,2,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,19,ctrl,1,4,4,0,0,23,23,0,0,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,20,prmx,5,2,2,1,1,29,29,0,0,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,21,agri,1,1,1,0,0,26,26,0,0,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,22,gly,2,5,5,0,0,7,7,3,3,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,23,glax,2,1,1,0,0,23,23,0,0,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,24,agri,2,2,2,0,0,22,22,1,1,0,0,0,0,0,0,0,0,100
10-Sep-18,-2,25,prmx,3,1,1,0,0,27,27,3,3,0,0,0,0,0,0,0,0,100
17-Sep-18,5,1,ctrl,4,11,10.67961165,1,0.970873786,5,4.854368932,8,7.766990291,0,0,0,0,0,0,0,0,103
17-Sep-18,5,2,prmx,4,20,19.60784314,0,0,6,5.882352941,12,11.76470588,0,0,0,0,0,0,0,0,102
17-Sep-18,5,3,agri,5,8,7.843137255,1,0.980392157,22,21.56862745,7,6.862745098,0,0,0,0,0,0,0,0,102
17-Sep-18,5,4,gly,1,15,15,0,0,2,2,8,8,0,0,0,0,0,0,0,0,100
17-Sep-18,5,5,gly,4,10,9.900990099,0,0,6,5.940594059,7,6.930693069,0,0,0,0,0,0,0,0,101
17-Sep-18,5,6,gly,5,17,17,1,1,4,4,12,12,0,0,0,0,0,0,0,0,100
17-Sep-18,5,7,ctrl,5,16,15.84158416,0,0,5,4.95049505,13,12.87128713,0,0,0,0,0,0,0,0,101
17-Sep-18,5,8,gly,3,20,20,1,1,10,10,6,6,0,0,0,0,0,0,0,0,100
17-Sep-18,5,9,ctrl,3,15,15,0,0,3,3,19,19,0,0,0,0,0,0,0,0,100
17-Sep-18,5,10,agri,3,11,11,2,2,32,32,6,6,0,0,0,0,0,0,0,0,100
17-Sep-18,5,11,prmx,1,13,12.62135922,2,1.941747573,8,7.766990291,27,26.21359223,0,0,0,0,0,0,0,0,103
17-Sep-18,5,12,agri,4,3,2.857142857,1,0.952380952,4,3.80952381,18,17.14285714,0,0,0,0,0,0,0,0,105
17-Sep-18,5,13,ctrl,2,6,5.769230769,0,0,4,3.846153846,25,24.03846154,0,0,0,0,0,0,0,0,104
17-Sep-18,5,14,prmx,2,8,8,0,0,13,13,15,15,0,0,0,0,0,0,0,0,100
17-Sep-18,5,15,glax,3,6,5.825242718,1,0.970873786,44,42.7184466,10,9.708737864,0,0,0,0,0,0,0,0,103
17-Sep-18,5,16,glax,4,1,0.952380952,2,1.904761905,54,51.42857143,8,7.619047619,0,0,0,0,0,0,0,0,105
17-Sep-18,5,17,glax,5,3,3,2,2,48,48,7,7,0,0,0,0,0,0,0,0,100
17-Sep-18,5,18,glax,1,7,6.542056075,4,3.738317757,41,38.31775701,10,9.345794393,0,0,0,0,0,0,0,0,107
17-Sep-18,5,19,ctrl,1,9,8.910891089,1,0.99009901,7,6.930693069,10,9.900990099,0,0,0,0,0,0,0,0,101
17-Sep-18,5,20,prmx,5,9,8.910891089,0,0,18,17.82178218,8,7.920792079,0,0,0,0,0,0,0,0,101
17-Sep-18,5,21,agri,1,4,3.80952381,0,0,42,40,14,13.33333333,0,0,0,0,0,0,0,0,105
17-Sep-18,5,22,gly,2,13,13,0,0,2,2,6,6,0,0,0,0,0,0,0,0,100
17-Sep-18,5,23,glax,2,5,4.62962963,0,0,37,34.25925926,9,8.333333333,0,0,0,0,0,0,0,0,108
17-Sep-18,5,24,agri,2,5,5,2,2,36,36,6,6,0,0,0,0,0,0,0,0,100
17-Sep-18,5,25,prmx,3,9,9,3,3,12,12,7,7,0,0,0,0,0,0,0,0,100
20-Sep-18,8,1,ctrl,4,12,11.76470588,0,0,7,6.862745098,27,26.47058824,0,0,0,0,0,0,0,0,102
20-Sep-18,8,2,prmx,4,26,23.42342342,4,3.603603604,8,7.207207207,31,27.92792793,0,0,0,0,0,0,0,0,111
20-Sep-18,8,3,agri,5,7,7,2,2,28,28,12,12,0,0,0,0,0,0,0,0,100
20-Sep-18,8,4,gly,1,16,15.53398058,3,2.912621359,2,1.941747573,46,44.66019417,0,0,0,0,0,0,0,0,103
20-Sep-18,8,5,gly,4,14,13.7254902,0,0,6,5.882352941,32,31.37254902,0,0,0,0,0,0,0,0,102
20-Sep-18,8,6,gly,5,17,16.50485437,0,0,3,2.912621359,32,31.06796117,0,0,0,0,0,0,0,0,103
20-Sep-18,8,7,ctrl,5,22,20.75471698,0,0,7,6.603773585,35,33.01886792,0,0,0,0,0,0,0,0,106
20-Sep-18,8,8,gly,3,27,23.68421053,2,1.754385965,10,8.771929825,39,34.21052632,0,0,0,0,0,0,0,0,114
20-Sep-18,8,9,ctrl,3,14,13.46153846,2,1.923076923,6,5.769230769,35,33.65384615,0,0,0,0,0,0,0,0,104
20-Sep-18,8,10,agri,3,7,6.603773585,2,1.886792453,38,35.8490566,13,12.26415094,0,0,0,0,0,0,0,0,106
20-Sep-18,8,11,prmx,1,21,18.91891892,2,1.801801802,13,11.71171171,36,32.43243243,0,0,0,0,0,0,0,0,111
20-Sep-18,8,12,agri,4,5,4.587155963,0,0,45,41.28440367,15,13.76146789,0,0,0,0,0,0,0,0,109
20-Sep-18,8,13,ctrl,2,17,16.50485437,4,3.883495146,5,4.854368932,38,36.89320388,0,0,0,0,0,0,0,0,103
20-Sep-18,8,14,prmx,2,14,13.20754717,1,0.943396226,10,9.433962264,32,30.18867925,0,0,0,0,0,0,0,0,106
20-Sep-18,8,15,glax,3,5,4.901960784,1,0.980392157,49,48.03921569,6,5.882352941,0,0,0,0,0,0,0,0,102
20-Sep-18,8,16,glax,4,2,1.923076923,0,0,67,64.42307692,5,4.807692308,0,0,0,0,0,0,0,0,104
20-Sep-18,8,17,glax,5,3,2.912621359,3,2.912621359,60,58.25242718,8,7.766990291,0,0,0,0,0,0,0,0,103
20-Sep-18,8,18,glax,1,10,9.433962264,0,0,44,41.50943396,17,16.03773585,0,0,0,0,0,0,0,0,106
20-Sep-18,8,19,ctrl,1,12,11.65048544,1,0.970873786,4,3.883495146,27,26.21359223,0,0,0,0,0,0,0,0,103
20-Sep-18,8,20,prmx,5,10,9.345794393,2,1.869158879,17,15.88785047,26,24.29906542,0,0,0,0,0,0,0,0,107
20-Sep-18,8,21,agri,1,3,2.857142857,0,0,41,39.04761905,16,15.23809524,0,0,0,0,0,0,0,0,105
20-Sep-18,8,22,gly,2,14,13.59223301,1,0.970873786,4,3.883495146,21,20.38834951,0,0,0,0,0,0,0,0,103
20-Sep-18,8,23,glax,2,6,5.660377358,2,1.886792453,35,33.01886792,11,10.37735849,0,0,0,0,0,0,0,0,106
20-Sep-18,8,24,agri,2,4,3.846153846,0,0,68,65.38461538,4,3.846153846,0,0,0,0,0,0,0,0,104
20-Sep-18,8,25,prmx,3,11,10.67961165,1,0.970873786,12,11.65048544,18,17.47572816,0,0,0,0,0,0,0,0,103
24-Sep-18,12,1,ctrl,4,24,22.01834862,1,0.917431193,7,6.422018349,32,29.35779817,0,0,0,0,0,0,0,0,109
24-Sep-18,12,2,prmx,4,27,25.71428571,4,3.80952381,14,13.33333333,25,23.80952381,0,0,0,0,0,0,0,0,105
24-Sep-18,12,3,agri,5,5,4.95049505,0,0,30,29.7029703,13,12.87128713,0,0,0,0,0,0,0,0,101
24-Sep-18,12,4,gly,1,23,21.4953271,3,2.803738318,7,6.542056075,31,28.97196262,0,0,0,0,0,0,0,0,107
24-Sep-18,12,5,gly,4,34,30.63063063,4,3.603603604,4,3.603603604,20,18.01801802,0,0,0,0,0,0,0,0,111
24-Sep-18,12,6,gly,5,23,21.4953271,2,1.869158879,10,9.345794393,33,30.8411215,0,0,0,0,0,0,0,0,107
24-Sep-18,12,7,ctrl,5,32,27.11864407,2,1.694915254,9,7.627118644,46,38.98305085,0,0,0,0,0,0,0,0,118
24-Sep-18,12,8,gly,3,27,23.27586207,5,4.310344828,13,11.20689655,37,31.89655172,0,0,0,0,0,0,0,0,116
24-Sep-18,12,9,ctrl,3,18,15.78947368,6,5.263157895,7,6.140350877,44,38.59649123,0,0,0,0,0,0,0,0,114
24-Sep-18,12,10,agri,3,3,3,0,0,25,25,11,11,0,0,0,0,0,0,0,0,100
24-Sep-18,12,11,prmx,1,27,25.71428571,3,2.857142857,7,6.666666667,32,30.47619048,0,0,0,0,0,0,0,0,105
24-Sep-18,12,12,agri,4,4,3.738317757,2,1.869158879,54,50.46728972,23,21.4953271,0,0,0,0,0,0,0,0,107
24-Sep-18,12,13,ctrl,2,19,16.23931624,5,4.273504274,4,3.418803419,61,52.13675214,0,0,0,0,0,0,0,0,117
24-Sep-18,12,14,prmx,2,12,11.11111111,9,8.333333333,9,8.333333333,40,37.03703704,0,0,0,0,0,0,0,0,108
24-Sep-18,12,15,glax,3,3,2.884615385,0,0,51,49.03846154,11,10.57692308,0,0,0,0,0,0,0,0,104
24-Sep-18,12,16,glax,4,1,0.961538462,0,0,77,74.03846154,7,6.730769231,0,0,0,0,0,0,0,0,104
24-Sep-18,12,17,glax,5,1,0.917431193,0,0,57,52.29357798,16,14.67889908,0,0,0,0,0,0,0,0,109
24-Sep-18,12,18,glax,1,2,1.923076923,3,2.884615385,56,53.84615385,16,15.38461538,0,0,0,0,0,0,0,0,104
24-Sep-18,12,19,ctrl,1,13,12.74509804,2,1.960784314,3,2.941176471,25,24.50980392,0,0,0,0,0,0,0,0,102
24-Sep-18,12,20,prmx,5,30,27.02702703,3,2.702702703,11,9.90990991,31,27.92792793,0,0,0,0,0,0,0,0,111
24-Sep-18,12,21,agri,1,5,4.807692308,1,0.961538462,38,36.53846154,8,7.692307692,0,0,0,0,0,0,0,0,104
24-Sep-18,12,22,gly,2,24,22.42990654,3,2.803738318,5,4.672897196,34,31.77570093,0,0,0,0,0,0,0,0,107
24-Sep-18,12,23,glax,2,2,1.960784314,1,0.980392157,28,27.45098039,18,17.64705882,0,0,0,0,0,0,0,0,102
24-Sep-18,12,24,agri,2,2,1.886792453,1,0.943396226,65,61.32075472,14,13.20754717,0,0,0,0,0,0,0,0,106
24-Sep-18,12,25,prmx,3,10,9.523809524,5,4.761904762,8,7.619047619,19,18.0952381,0,0,0,0,0,0,0,0,105
27-Sep-18,15,1,ctrl,4,24,20.86956522,8,6.956521739,2,1.739130435,42,36.52173913,0,0,0,0,0,0,0,0,115
27-Sep-18,15,2,prmx,4,32,24.80620155,6,4.651162791,29,22.48062016,46,35.65891473,0,0,0,0,0,0,0,0,129
27-Sep-18,15,3,agri,5,6,5.607476636,4,3.738317757,27,25.23364486,15,14.01869159,0,0,0,0,0,0,0,0,107
27-Sep-18,15,4,gly,1,23,18.11023622,9,7.086614173,13,10.23622047,52,40.94488189,0,0,0,0,4,3.149606299,0,0,127
27-Sep-18,15,5,gly,4,26,23.00884956,6,5.309734513,7,6.194690265,38,33.62831858,0,0,0,0,0,0,0,0,113
27-Sep-18,15,6,gly,5,33,27.27272727,5,4.132231405,10,8.26446281,44,36.36363636,0,0,0,0,1,0.826446281,0,0,121
27-Sep-18,15,7,ctrl,5,35,29.41176471,2,1.680672269,8,6.722689076,42,35.29411765,0,0,0,0,1,0.840336134,0,0,119
27-Sep-18,15,8,gly,3,40,31.49606299,7,5.511811024,9,7.086614173,52,40.94488189,0,0,0,0,0,0,0,0,127
27-Sep-18,15,9,ctrl,3,26,21.31147541,7,5.737704918,6,4.918032787,50,40.98360656,0,0,0,0,0,0,0,0,122
27-Sep-18,15,10,agri,3,5,4.854368932,1,0.970873786,19,18.44660194,9,8.737864078,0,0,0,0,1,0.970873786,0,0,103
27-Sep-18,15,11,prmx,1,26,20.96774194,12,9.677419355,7,5.64516129,56,45.16129032,0,0,0,0,0,0,0,0,124
27-Sep-18,15,12,agri,4,4,3.669724771,3,2.752293578,42,38.53211009,18,16.51376147,0,0,0,0,3,2.752293578,0,0,109
27-Sep-18,15,13,ctrl,2,22,19.29824561,6,5.263157895,5,4.385964912,63,55.26315789,0,0,0,0,1,0.877192982,0,0,114
27-Sep-18,15,14,prmx,2,19,15.70247934,13,10.74380165,8,6.611570248,54,44.62809917,0,0,0,0,0,0,0,0,121
27-Sep-18,15,15,glax,3,3,2.752293578,2,1.834862385,47,43.11926606,8,7.339449541,0,0,0,0,5,4.587155963,0,0,109
27-Sep-18,15,16,glax,4,1,0.943396226,1,0.943396226,66,62.26415094,4,3.773584906,0,0,0,0,4,3.773584906,0,0,106
27-Sep-18,15,17,glax,5,2,1.801801802,4,3.603603604,55,49.54954955,11,9.90990991,0,0,0,0,4,3.603603604,0,0,111
27-Sep-18,15,18,glax,1,3,2.777777778,2,1.851851852,56,51.85185185,8,7.407407407,0,0,0,0,2,1.851851852,0,0,108
27-Sep-18,15,19,ctrl,1,21,18.26086957,4,3.47826087,4,3.47826087,51,44.34782609,0,0,0,0,0,0,0,0,115
